ResultID,PROJNUM,ProjectID,ActivityTypeLUID,ActivityType,ResultLUID,Result,Quantity,QuantityDetails,UnitLUID,Unit
1,19970001,1,1,Instream,7,Total miles of stream treated (instream activities),0,quantity not reported,10,mile
2,19970002,2,1,Instream,7,Total miles of stream treated (instream activities),0.19,,10,mile
3,19970003,3,1,Instream,7,Total miles of stream treated (instream activities),0,quantity not reported,10,mile
4,19970004,4,1,Instream,7,Total miles of stream treated (instream activities),0.23,,10,mile
5,19970005,5,1,Instream,7,Total miles of stream treated (instream activities),0.37,,10,mile
6,19970006,6,1,Instream,7,Total miles of stream treated (instream activities),0.75,,10,mile
7,19970006,6,2,Riparian,8,Total linear stream miles treated (riparian activities),0,quantity not reported,10,mile
26831,19970006,6,2,Riparian,9,Total acres treated (riparian activities),1,,1,acre
8,19970007,7,1,Instream,7,Total miles of stream treated (instream activities),1.5,,10,mile
9,19970008,8,1,Instream,7,Total miles of stream treated (instream activities),1,,10,mile
10,19970009,9,1,Instream,7,Total miles of stream treated (instream activities),0.19,,10,mile
11,19970010,10,1,Instream,7,Total miles of stream treated (instream activities),1.25,,10,mile
12,19970011,11,1,Instream,7,Total miles of stream treated (instream activities),0.29,,10,mile
13,19970012,12,1,Instream,7,Total miles of stream treated (instream activities),1.24,,10,mile
14,19970012,12,2,Riparian,8,Total linear stream miles treated (riparian activities),0,quantity not reported,10,mile
15,19970013,13,1,Instream,7,Total miles of stream treated (instream activities),0.4,,10,mile
16,19970013,13,2,Riparian,8,Total linear stream miles treated (riparian activities),0.12,reported,10,mile
20,19970014,14,1,Instream,7,Total miles of stream treated (instream activities),0.79,,10,mile
21,19970014,14,2,Riparian,8,Total linear stream miles treated (riparian activities),0,quantity not reported,10,mile
17,19970014,14,3,Fish Passage,1,Total number of road/stream crossings improved for fish passage,1,,3,crossing
18,19970014,14,3,Fish Passage,17,Total miles of fish habitat made accessible due to road/stream crossing improvements (e.g. improveme,1.5,,10,mile
19,19970014,14,3,Fish Passage,3,Miles of habitat opened- previously inaccessible for both adults and juveniles,1.5,,10,mile
9888,19970014,14,4,Road,12,Total number of stream crossings improved for peak flow passage,1,,3,crossing
22,19970016,15,1,Instream,7,Total miles of stream treated (instream activities),0.04,,10,mile
26,19970017,16,1,Instream,7,Total miles of stream treated (instream activities),0.38,,10,mile
