Basin Name,Watershed (USGS 4th Field Name),USGS 4th Field HUC,Record ID,Water Body (Stream/Lake),LLID,River Miles,Segment Length,Parameter,Season,Criteria,BeneficialUses,Status,AssessmentYear,Assessment Action,Suporting Data,Previous Status,Previous Action,Listing Year,Comments,Beach Name,EPA Beach ID,TMDLInfo,
Black Rock Desert,Upper Quinn,16040201,12579,Cottonwood Creek,1.18E+12,0 to 9,9,Temperature,Year Round (Non-spawning),Cool water: 20.0 degrees Celsius 7-day-average maximum,Cool-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23336 River Mile 0: From 7/2/2000 to 10/20/2000, 72 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12580,Indian Creek,1.18E+12,1.9 to 7.1,5.2,Temperature,Year Round (Non-spawning),Redband or Lahontan cutthroat trout: 20.0 degrees Celsius 7-day-average maximum,Redband or Lahontan cutthroat trout,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23346 River Mile 6.5: From 7/2/2000 to 10/20/2000, 6 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12581,McDermitt Creek,1.18E+12,0 to 12.3,12.3,Temperature,Year Round (Non-spawning),Cool water: 20.0 degrees Celsius 7-day-average maximum,Cool-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23340 River Mile 6.8: From 7/2/2000 to 10/20/2000, 40 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 23341 River Mile 8.3: From 7/2/2000 to 10/20/2000, 26 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 23342 River Mile 10.8: From 7/2/2000 to 10/20/2000, 10 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 23343 River Mile 12.2: From 7/1/2000 to 10/19/2000, 0 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 24942 River Mile 0.3: From 7/19/1999 to 10/9/1999, 0 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 24943 River Mile 0.3: From 7/18/1999 to 10/10/1999, 0 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12582,Mine Creek,1.18E+12,0 to 4.5,4.5,Temperature,Year Round (Non-spawning),Cool water: 20.0 degrees Celsius 7-day-average maximum,Cool-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23350 River Mile 1.3: From 7/2/2000 to 9/2/2000, 32 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 23348 River Mile 0: From 7/2/2000 to 10/21/2000, 96 days with 7-day-average maximum > 20 degrees Celsius.
[DEQ] LASAR 23349 River Mile 1: From 7/2/2000 to 10/21/2000, 112 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12583,Riser Creek,1.18E+12,0 to 0.6,0.6,Temperature,Year Round (Non-spawning),Cool water: 20.0 degrees Celsius 7-day-average maximum,Cool-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23338 River Mile 0: From 7/1/2000 to 10/20/2000, 67 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12585,Sage Creek,1.18E+12,0 to 1.4,1.4,Temperature,Year Round (Non-spawning),Cool water: 20.0 degrees Celsius 7-day-average maximum,Cool-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23353 River Mile 1.3: From 7/2/2000 to 10/20/2000, 18 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Black Rock Desert,Upper Quinn,16040201,12586,Sage Creek,1.18E+12,0 to 5.2,5.2,Temperature,Year Round (Non-spawning),Redband or Lahontan cutthroat trout: 20.0 degrees Celsius 7-day-average maximum,Redband or Lahontan cutthroat trout,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 23354 River Mile 1.7: From 7/2/2000 to 10/20/2000, 34 days with 7-day-average maximum > 20 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,24440,Beaver Creek,1.20E+12,0 to 20,20,Dissolved Oxygen,Year Round (Non-spawning),Cool water: Not less than 6.5 mg/l,,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the cool water criteria out of 5 days of sampling collection between 7/10 and 10/10 at STORET station CRO140.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
Deschutes,Beaver-South Fork,17070303,12668,Beaverdam Creek,1.20E+12,0 to 10.8,10.8,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31147 River Mile 2.5: From 6/16/2002 to 9/28/2002, 63 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,12667,Begg Creek,1.20E+12,0 to 2.2,2.2,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31119 River Mile 1.3: From 7/20/2002 to 9/29/2002, 8 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,140,Dipping Vat Creek,1.20E+12,0 to 7.7,7.7,Temperature,Summer,Rearing: 17.8 C,Anadromous fish passage; Salmonid fish rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",1998,No action,Previous Data:  USFS Data (Sites at National Forest boundary and River Mile 1.0):  31 and 67 days exceeded temperature standard (64) with maximums of 66 and 68 respectively in 1995 (see USFS (1993) for additional data).,Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 1998,,,,,
Deschutes,Beaver-South Fork,17070303,9018,Dry Paulina Creek,1.20E+12,0 to 13.1,13.1,Temperature,Summer,Rearing: 17.8 C,Salmonid fish rearing; Anadromous fish passage,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2002,No action,"Previous Data:  LASAR 12877 RM 2.2: In 1997, 65 days with 7 DMA > 17.8 C.",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 2002,,,,,
Deschutes,Beaver-South Fork,17070303,12671,East Wolf Creek,1.20E+12,0 to 3.3,3.3,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31131 River Mile 0: From 6/20/2002 to 10/1/2002, 2 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,12676,North Wolf Creek,1.20E+12,0 to 10.3,10.3,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31144 River Mile 4.9: From 6/20/2002 to 9/29/2002, 57 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,141,Powell Creek,1.20E+12,0 to 12.7,12.7,Temperature,Summer,Rearing: 17.8 C,Salmonid fish rearing; Anadromous fish passage,"Cat 5: Water quality limited, 303(d) list, TMDL needed",1998,No action,"Previous Data:  USFS Data (Site at National Forest boundary): 45 days with a maximum of 68 exceeded temperature standard (64) in1995 (see USFS (1991, 1994) for additional data).",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 1998,,,,,
Deschutes,Beaver-South Fork,17070303,12670,Rager Creek,1.20E+12,0 to 8.5,8.5,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31146 River Mile 1.5: From 6/22/2002 to 9/28/2002, 26 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,23320,Roba Creek,1.20E+12,0 to 7.2,7.2,Biological Criteria,Year Round,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 35864 River Mile 3.36 FROM 7/7/2001 To 7/7/2001 0 out of 1 (0%) samples outside WCCP regional criteria.
LASAR 26948 River Mile 3.8 FROM 7/30/2002 To 7/30/2002 1 out of 1 (100%) samples outside WCCP regional criteria.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
Deschutes,Beaver-South Fork,17070303,12682,Roba Creek,1.20E+12,0 to 7.2,7.2,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31142 River Mile 3.3: From 6/14/2002 to 9/28/2002, 22 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Beaver-South Fork,17070303,9063,South Fork Beaver Creek,1.20E+12,0 to 26.4,26.4,Temperature,Summer,Rearing: 17.8 C,Salmonid fish rearing; Anadromous fish passage,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2002,No action,"Previous Data:  LASAR 13240 RM 6.5: In 1998, 82 days with 7 DMA > 17.8 C.",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 2002,,,,,
Deschutes,Beaver-South Fork,17070303,24439,South Fork Crooked River,1.20E+12,0 to 54,54,Dissolved Oxygen,Year Round (Non-spawning),Cool water: Not less than 6.5 mg/l,,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  Four exceedences of the cool water criteria out of 5 days of sampling collection between 7/10 and 10/10 at STORET station CRO141.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
Deschutes,Beaver-South Fork,17070303,9055,South Fork Crooked River,1.20E+12,0 to 18,18,Temperature,Summer,Rearing: 17.8 C,Anadromous fish passage; Salmonid fish rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2002,No action,"Previous Data:  LASAR 17008 RM 5.4: In 1998, 99 days with 7 DMA > 17.8 C.",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 2002,,,,,
Deschutes,Beaver-South Fork,17070303,143,Sugar Creek,1.20E+12,0 to 11.5,11.5,Temperature,Summer,Rearing: 17.8 C,Salmonid fish rearing; Anadromous fish passage,"Cat 5: Water quality limited, 303(d) list, TMDL needed",1998,No action,"Previous Data:  USFS Data (Site at RM 0.1): 42, no data (for days in 1993), and 74 days exceeded previous standard (58) with maximum values of 74, 63, and 68 in 1991, 1993 and 1994 respectively (USFS, 91-93).",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 1998,,,,,
Deschutes,Beaver-South Fork,17070303,23966,Twelvemile Creek,1.20E+12,2.2 to 2.8,0.6,Biological Criteria,Year Round,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 32622 River Mile 2.34 FROM 9/21/2005 To 9/21/2005 1 out of 1 (100%) samples outside WCCP regional criteria.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
